Review;reference_output;_original_prediction
For leisure/vacation, I have never personally rented the car.  I have always left that up to my significant other and she did not complain to use this company;yes;yes
I thought the representative handled the initial situation badly.  The company was out of cars, with none coming in that day.  Then the representative tried to find us a car at another franchise.  There they were successful.;no;no
I have had a few recent rentals that have taken a very very long time, with no offer of apology.  In the most recent case, the agent subsequently offered me a car type on an upgrade coupon and then told me it was no longer available because it had just be;no;no
car cost more because I didn't pay when I reserved it;no;no
I didn't get the car I was told would be available.  There were some hidden fees added on to the price I was quoted.;no;no
If there was not a desired vehicle available the reps explored all options including competitors to assist in finding an available vehicle. This level of service brought me back not to their competitor but the company as this reflects on their overall quality.;yes;yes
Initially the representative handled the situation badly.  No car was available, even next day.  Then the rep helped to find us a car in another agency.;no;no
I have had a few issues with rentals recently, with no offer of apology.  Last time, the agent offered me an upgrade coupon but now he told me it is no longer available.;no;no
Car rental cost was higher because I decided to pay cash;no;no
I had to pay more because of some hidden fees. It disappointed me.;no;no
Although there were no available car in category stuff assisted in finding an available vehicle.;yes;yes
They were idiots.  The car had problems and they were unable to fix them or provide a replacement without a lot of hassle.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
They did not have the car I wanted.  upgraded me to a car I did not like and did not want.;no;no
delayed shuttle, almost missed flight, bad customer service;no;no
I would like them to be more speedy.  Also I would like the rental company to check the car for previous damage while I am standing there.;no;no
The only unpleasant aspects of interacting with personnel from the company was having to wait in a long line since most windows were closed. Also, they tried really hard to sell additional insurance coverage which was obnoxious.;no;no
Was average, nothing out of the ordinary.  Took a long time to get the car.;no;no
I haven't actually spoken with anyone from a car rental organization for quite a while.  When I did (probably about three years ago), I believe they were polite enough. However, I always hate to wait in lines when we have a lot of luggage.;no;no
They were too pushy in trying to sell insurance.;no;no
speed up the rental process!;no;no
The counter girl seemed confused and she had lost our reservations. They directed us to one car and then came running out to tell us that was the wrong car and to come back to the counter. Getting directions took forever and they weren't accurate.;no;no
For the most part, they it's been really good service.  I usually rent from the airports because it's much cheaper.  Once they charged me over and I had to hunt down the accounting department to get my money back.  it was a pain.;no;no
I HATE how they pressure you to buy add-on service.;no;no
took a long time to check in, and it would have been nice if someone explained how to get the convertible top down.;no;no
The agents were not friendly when I checked in initially, that was annoying because I had just spent 3 hours on a plane and wanted to be greeted with a better attitude.;no;no
they were a little slow;no;no
I would like the reps be knowledgeable about the immediate area around the rental agency and or have maps for the area available free of charge.;no;no
I had to wait in line for a long time to get and return the vehicle.  Also, the car was not clean.;no;no
The people where generally good, but overworked.  The printer went down.  The poor woman working the register was about to pull her hair out.  Customers were yelling at her, not me, but she was not in charge of the issues.;no;no
The car I reserved was not ready.;no;no
Had problems with windshield wipers that affected usability.  Problem was not solved.  Customer service was NOT helpful. Because of franchising, I was not able to get help from an office other than the one I rented from.  I had driven 60 miles from that location and there was another location 2 miles from where I was staying.;no;no
I thought that they were very short and not very friendly. I felt like they hated their job and could care less about the customer.;no;no
The only complaint I have is getting in fast, and not waiting in long lines. When I pick up a car. Or return it.;no;no
You need more staff to accommodate travelers who are in a hurry. Specifically, cut down the wait time to either retrieve or turn in a rental car.;no;no
More agents during peak hours;no;no
Most windows were closed.;no;no
the agent obviously hates their job more than I hate mine and that surprises me;no;no
We had an issue with our last vacation car rental.  Instead of crediting the rental amount, the company issued a certificate for one free day (could have been 2, I don't exactly remember).  I would have rather had the credit for our current rental.;no;no
long lines waiting for the rental pick.;no;no
needed: shorter lines & cleaner cars, friendlier reps;no;no
I expected customer service to recognize that I rent from their company every single day. I expect some difference for this loyalty.;no;no
The person who assisted me was not very friendly and didn't like to give the details I was asking for (gas refill packages, insurance, etc.).;no;no
long lines waiting for the rental pick.;no;no
It was absolutely ATROCIOUS! My wife and I were in a foreign country  when we realized that our car had an expired license plate and expired proof of insurance!;no;no
Customer service was hopeless. They care less about your having reserved a certain car, but they are quick to upgrade you to a better one when you start causing a fuss. It would be nicer if no fuss was required and you got upgraded by default.;no;no
it seems that they never have the class of car that I ordered.  also, the last time I got there earlier than I thought and they wouldn't let me have the car until the time that I had requested it because their computer wouldn't allow it.;no;no
The better the Customer service, the more likely it will be for me to rent from that company again  they should learn from this;no;no
It was not as bad as it usually is.;yes;yes
slow and stupid;no;no
The customer service agent was helpful, but I find that providing all of the information to the agent takes too long.  It would be nice if I could provide all of the information to the agent prior to coming the rental place.;no;no
Customer Service at Alamo was RUDE. We waited in line for over an hour to get our car. Car was bad. Had to change it few days later. Another family traveling with us was upgraded to a larger car as they were out of the type of car booked.;no;no
Customer is important for the enjoyment of the car.  If it's a bad experience we won't return to that company if we can avoid it - they should remember abotut this;no;no
last time I rented a car was at Manchester, NH airport and they do not have office there anymore;no;no
Waiting line is too long.  They need to speed up the process.;no;no
Customer service agent stated she did not have reserved model available and I would have to pay for upgrade to other model. I refused, and then received upgraded model at no charge.;no;no
Penalties for smoking in non-smoking cars should be more severe, and include decapitation.  Customer service was not receptive.;no;no
My main concern was that the price quoted on the internet was not the price that I was invoiced.   I had to call the provider and straighten it out but it took time and was a hassle.;no;no
the better the customer service, the sooner the vacation starts;no;no
Customer service is horrible. I reserved through on-line which did not indicate/state I had to provide proof of insurance during pickup. The manager denied the reservation and after long and rude argument he finally gave in.;no;no
Slow, long lineup;no;no
My last car rental was in Costa Rica.  There was lots of red tape associated with renting the car, it took almost an hour.  I don't usually experience that type of problem in the US.;no;no
Everyone was very helpful.  The car was ready for me on time and I didn't have to wait a long time at the counter.;yes;yes
They moved me in and out quickly. The shuttle driver drove like a maniac.;yes;yes
We needed a minivan on very short notice to drive out of town to a funeral.  Enterprise staff worked hard to find us one, and they did. We smashed the car into a parking garage pole.  Since we had purchased the comprehensive insurance we didn't have to go through all of the B.S.;yes;yes
The representatives were helpful and considerate;yes;yes
Customer service was average.  They did not go above and beyond.  They did, however, do more than the minimum.;yes;yes
Everything was great.  The line was a little long to get the car but it was a good experience.;yes;yes
not applicable;yes;yes
they were trying to satisfy me even though my wife tells me I was being rude;yes;yes
friendly people;yes;yes
They provided the best service thus far. They are very friendly and helpful. I have rented from other companies before both cheaper and more expensive.;yes;yes
We had a small problem with the size of car we reserved being available. The company was able to send another car over from a different location. We were delayed in getting on the road, but were satisfied with the car.;yes;yes
None I  rarely rent cars;yes;yes
they were extremely helpful and did whatever they could to help us.;yes;yes
the service at the airport was very convenient.  no lines at the service desk.;yes;yes
long lines moved quickly;yes;yes
They had the class of car that I ordered.;yes;yes
Anywhere you go you will find good customer service and bad customer service.  Since I have rented so many cars, there have been too many experiences to recall so I can't say anything definitely bad;yes;yes
No complaints.;yes;yes
very limited (which is good).  quickly received car.;yes;yes
they were fast and friendly.;yes;yes
I never had to deal with customer service. The bus dropped me off at my car, when I returned the car, I had my receipt at that moment. I then got on the bus and left. Never having to wait in a line for customer service.;yes;yes
Very nice, free upgrade;yes;yes
Customer service was extremely helpful.  They knew I was visiting my 91 year old mother and upgraded at no cost to a car that would be more comfortable for her.;yes;yes
Well since I used to work for a car rental company and at the time I rented I was still working with the company, I was treated with nothing but respect and received a free upgrade as well.;yes;yes
Its nice when you get in your car and it has already been started up with the A/C or heating going.;yes;yes
Very good. willing to drop me off and pick me up from location, upgraded me to higher level due to availability;yes;yes
It would be nice if they included maps to the airport drop off with the car, last time we got lost returning the car and almost missed the flight.  There was nothing on the exit that indicated rental returns.  Actually the one I really liked, was when we;no;no
The car should have been brought to us instead of us trying to find it in the lot.;no;no
no wait for pick up and drop off was great, help with luggage, face to face directions to hotel, recommended entertainment for area.;yes;yes
They offered detailed directions.;yes;yes
Please back to lower the prices.;no;no
Even economy class cars are too expensive.;no;no
I was penalty charged because vehicle was not returned with full tank.;no;no
My experience up to date was  good.  It was inconvenient to return car clean, but I had to pay the hefty charge for rental.;yes;yes
Please stop increasing the prices.;no;no
price TOO HIGH and off premise location is NOT convenient.;no;no
I do not  understand why I have to pay additional fee if vehicle is returned without a full tank.;no;no
My experience was positive .The thing I didnt like was returning the car with full tank.  It was time consuming, but I didn't want to pay fill-up charge to the rental company.;yes;yes
Please lower the prices.;no;no
price too high and location off premise too far;no;no
outlining the cost of gas per gallon charged if vehicle was returned without full tank;no;no
My last experience was  seamless.  The only thing I didn't like was having to fill the tank with gas before turning it in.  It was inconvenient, but I didn't want to pay the hefty fill-up charge to the rental company.;yes;yes
Excellent response dealing with child seat.;yes;yes
There was still a live person however we arrived very late.  We had no problems with car return.;yes;yes
Service was incredibly fast. Car was parked in area close to rental office.;yes;yes
I reserved the car over internet,, and had no problems with pick-up of the vehicle.;yes;yes
VERY slow service!;no;no
Did not have some problems. My car was not ready on time.;no;no
all went quite without hassle, they picked me up to get the car it was great.;yes;yes
I was happy that we arrived very late and there was still a live person to help us get our rental.  We had no problems with the car, and returned it easily.;yes;yes
Service was fast. Car was parked close-by.;yes;yes
I rented over the internet, and there were no problems with the reservation or pick-up of the vehicle.;yes;yes
fast service;yes;yes
Did not have any problems. My car was ready on time and it was the one I had asked for.;yes;yes
all went quite smoothly... it was Enterprise, so they even picked me up to get the car... it was very convenient.;yes;yes
I would like the personnel to pretend they care about customer, at least.;no;no
Do not try sell what I do not need.;no;no
Agents always want me to take extra insurance but this time they insisted too much.;no;no
The rental car person was impertinent.;yes;yes
Guys were extremely nice.;yes;yes
They could really try work harder.;no;no
Based on the customer service personnel I encountered most recently, I would say it is vastly preferable for the personnel to be able to at least pretend to care whether the customer ever actually receives a car rental that was reserved months in advance.;no;no
they should not try so hard to up sell;no;no
"Agents usually try to get you to take insurance and pay for full tank of gas.  Some persist even after a ""no thanks.""  Even after noting preferences on my frequent user file that says I don't want them.";no;no
The rental car guy was cute.;yes;yes
For the most part they are very nice.;yes;yes
"I guess it really DOES ""try harder.""";yes;yes
what customer service? It was a nightmare;no;no
"""sorely lacking""  helpdesk was not much helpfull";no;no
It took quite a long time, about 45 minutes to an hour.  Several attendants but the line was about 20-25 deep.  Check out was very quick.  A minute or two was all.  Overall a pretty good experience.;no;no
they could not provide driving directions;no;no
friendly, but could not making any decisions on own;no;no
They forgot to ask for my driver's license.;no;no
States have different rules and regulations pertaining to speed, radar detectors, even when light should be on.  Customer services reps should have a handout or be knowledgeable of a particular state's laws.;no;no
Customer service was fine.  We didn't care for the off site location.  Would not use that car rental company at that airport again.;no;no
The rental clerk was nice, but I swear she was deaf.  We had to repeat everything twice and although we had a reservation she treated us like a walk in, so that all the information that we gave to reserve the car we had to repeat all over again.;no;no
the rep was friendly but it was so loud in there that I could not hear what she was saying. I HATE having to walk across a big lot with all of my bags in search of my car which is always in the furthest corner.;no;no
They should upgrade me every time.;no;no
customer service was great until we returned the car.  I experienced an issue with damage to the car, and felt that things were left unanswered and still waiting for a response from them.;no;no
Having knowledgeable personnel is very important;no;no
It was good, got the car we wanted without much of a wait in picking up and dropping off;yes;yes
adequate to the price. It was fine;yes;yes
Person very friendly but only person working counter;yes;yes
They provided good service.   It was easy to make on-line reservations, the airport bus took me directly and quickly to the car, gas tank filled, customer service friendly and helped with directions and luggage.;yes;yes
The car rental company that I went with had very good customer service. They were out of a certain car I reserved and gave me a upgrade and apologized.;yes;yes
Experience was fine, usually try to get you to upgrade.;yes;yes
good;yes;yes
Customer Service was fine. They were able to upgrade me for $2 a day to the next class...that was nice.;yes;yes
They were helpful and accommodating when I wanted to change the color of the car.;yes;yes
The customer service was excellent;yes;yes
Experience was fine;yes;yes
Have not rented a car since last October.  Customer Service was good, shuttle service was available to and from airport.  Scheduled pickup was on time and they even found a package we had left in the car and brought it to the shuttle.;yes;yes
it was a great experience;yes;yes
No problems encountered;yes;yes
Very satisfactory. Employees were very helpful in providing directions.;yes;yes
Customer Service was quick and friendly.  I received my car with little hassles.;yes;yes
Customer service was good at MSP airport and the process was very fast.  From getting off of the plane to leaving with my rental car was less than 45 minutes.;yes;yes
no complaints;yes;yes
Friendly and very well informed;yes;yes
It was fine;yes;yes
Employees had nice, new uniforms.;yes;yes
customer service was very good and very professional, energetic;yes;yes
customer service was OK;yes;yes
Customer service was great, but I wish they had searched the car when I returned it.  I left my Palm Pilot in the backseat for 2 days before I noticed it was missing!  Fortunately the car was still in the lot when I called and they were able to ship it to me.;yes;yes
they were fine.;yes;yes
they were very nice and willing to help in any way they could;yes;yes
it was fine, I had no problem at all.;yes;yes
They were very good and took care of what I needed. Very quick.;yes;yes
The customer service people were very nice.  During my vacation I locked my keys in the car.  The rental company sent someone out with a new set of keys to unlock the car.;yes;yes
Everything went fine.  Folks were friendly and informed.;yes;yes
It was okay, we got the car quickly, which is the most important thing;yes;yes
No suggestions.  Customer Service was good.;yes;yes
Customer service was outstanding. Got a free upgrade without even asking. Everyone was very courteous and friendly.;yes;yes
Everyone was very friendly. They even drove us to the airport since we were running late for our flight.;yes;yes
All the people I dealt with were pleasant and helpful.;yes;yes
they were very nice;yes;yes
Everything was fine with my last car rental.;yes;yes
It was a good experience, received an upgrade at no charge.;yes;yes
they were friendly;yes;yes
We did not have any trouble with customer service. No complaints.;yes;yes
They were friendly and helpful enough.;yes;yes
My last rental experience for leisure was fine -- no service issues to speak of.;yes;yes
service was excellent;yes;yes
No problems;yes;yes
customer service was OK;yes;yes
People were nice.  Service was fast.;yes;yes
Customer Service is great since you don't have to deal with any people, per se.  The car is ready and waiting for you and the shuttle just drops you off to it.;yes;yes
Good experience with all the rental co.'s I contacted. I Just called with rental dates and received pricing and selected rental co.;yes;yes
No problems;yes;yes
Customer service was fine;yes;yes
Customer service went out of their way to provide a car that would fit our needs;yes;yes
Our customer service representative was polite and well-dressed. He smiled appropriately and answered my questions, not from a rehearsed script, but from his own frame of reference. He shirt was neatly pressed and his hair was professionally coifed.;yes;yes
They were actually very nice. It was in Rome and there was a language barrier, but we overcame it.;yes;yes
The woman at the counter was friendly and tried to accommodate me as best she could. The counter was close to the terminal and the whole thing was quick and expedient.;yes;yes
Customer service was friendly and helpful.;yes;yes
They were competent.;yes;yes
very friendly, brought the car to the hotel;yes;yes
The customer service was very friendly and knowledgeable.  She suggested to upgrade to the SUV and it worked out much better for our trip.;yes;yes
it was fine;yes;yes
Staff member was very pleasant. Provided map/directions to my hotel.;yes;yes
Customer service was fine;yes;yes
The people were very nice.  Directions to and from our hotel, the rental company location and tourists attractions were given and they were happy to help us out.;yes;yes
Customer service was fine as I recall. No problems.;yes;yes
It was very late at night and the customer service representative was very obliging and courteous.;yes;yes
it was fine.;yes;yes
I had no problems with the service;yes;yes
the line was slow but the agent was ok;yes;yes
They were great as far as I could tell, they explained what needed to be done to use the University pricing.;yes;yes
 The service was polite and professional. I was attended to quickly and courteously.;yes;yes
Customer service was very good.;yes;yes
Customer service was very good;yes;yes
service was good.;yes;yes
I would have to say that Enterprise car rental has the best customer service. They are very friendly and helpful.;yes;yes
The service I have is always good, I have used the same company for many years and I know the counter personnel personally.  It is always good to know that they are willing to help you in any situation. ;yes;yes
Last time I rented a car was when I went skiing with my whole family.  We got a Chevy Blazer.  We didn't think it was as large as a Ford Explorer, so we asked to switch.  The agent was very nice and gave us the Ford Explorer.;yes;yes
I did everything on-line - never talked to an agent during booking.  There were no problems, even though I had to switch car sizes after initial reservation. Agent on duty for pick-up was courteous.;yes;yes
I recently rented a car and they were outstanding.  The customer service rep was very helpful and courteous.  They even let me extend my rental by a couple of hours for no charge at all. I was very pleased with my experience and I would go back.;yes;yes
Wonderful experience - the rental and whole process was seamless;yes;yes
They had problem to find reservation number, so whole process took too long time.;no;no
It took us almost three hours just to get a car! It was absurd.;no;no
Provide more convenient car pickup from the airport parking.;no;no
We dealt with customer service at car pick-up place, and drive off in few minutes.;yes;yes
We got our car very quickly.;yes;yes
I get keys from customer service and was able to start my vacation,it was nice;yes;yes
I have never rented the car for a week.  It was great experience. It was in agreement with what my friend said about this company.;yes;yes
greater expedience - the rental and whole process was easy and fast;yes;yes
They couldn't find my confirmation number in their system, which was rather frustrating.;no;no
The company was overwhelmed by the number of customers verse the number of available agents and they were not articulating their situation to the customers well enough. I think we waited for almost 3 hours just to get a rental car. It was ridiculous.;no;no
Provide more frequent pickup from the airport.;no;no
We dealt very little with customer service, and we only walked to the car assigned for us, and drive away.;yes;yes
we got the car quickly;yes;yes
I did not need to deal with customer service on my last vacation rental which was nice;yes;yes
For leisure/vacation, I have never personally rented the car.  I have always left that up to my significant other and she did not complain to use this company;yes;yes
